City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolskoye,59.7,30.79,66.2,68,0,4.47,RU,1595188171
1,lata,40.16,-8.33,75.99,63,0,4.0,PT,1595188171
2,vaini,-21.2,-175.2,68.0,94,90,11.41,TO,1595188171
3,saskylakh,71.92,114.08,51.39,77,75,10.51,RU,1595188171
4,inhambane,-23.86,35.38,66.2,82,20,9.44,MZ,1595188172
5,mataura,-46.19,168.86,35.98,84,100,3.56,NZ,1595188172
6,nanortalik,60.14,-45.24,50.76,71,0,4.29,GL,1595188172
7,malanje,-9.54,16.34,61.27,33,0,4.21,AO,1595188172
8,tripoli,32.88,13.19,75.56,78,0,7.4,LY,1595187990
9,butaritari,3.07,172.79,83.48,76,28,15.28,KI,1595188172
10,billings,45.78,-108.5,82.99,29,20,3.09,US,1595188172
11,santa cruz,-17.8,-63.17,87.8,55,20,20.8,BO,1595188172
12,mar del plata,-38.0,-57.56,55.4,93,90,10.29,AR,1595187999
13,hithadhoo,-0.6,73.08,82.74,79,100,16.28,MV,1595188062
14,kruisfontein,-34.0,24.73,52.03,73,0,3.89,ZA,1595188172
15,georgetown,5.41,100.34,82.0,94,40,5.82,MY,1595188161
16,lebu,-37.62,-73.65,54.19,85,2,12.1,CL,1595188172
17,nantucket,41.28,-70.1,75.99,88,90,11.41,US,1595188034
18,zhuanghe,39.7,122.99,72.0,89,58,9.42,CN,1595188173
19,tuktoyaktuk,69.45,-133.04,42.8,87,90,2.24,CA,1595188173
20,kuminskiy,58.67,66.57,64.22,89,82,6.31,RU,1595188173
21,east london,-33.02,27.91,63.16,74,0,15.43,ZA,1595188173
22,khandagayty,50.73,92.05,61.52,57,0,7.4,RU,1595188173
23,usinsk,65.99,57.53,52.41,82,0,10.85,RU,1595188173
24,alofi,-19.06,-169.92,69.8,100,100,4.7,NU,1595188173
25,houston,29.76,-95.36,93.99,58,1,8.05,US,1595188127
26,hobyo,5.35,48.53,77.95,69,98,23.11,SO,1595188173
27,kholmogory,64.22,41.66,57.2,100,0,4.47,RU,1595188173
28,villa union,23.2,-106.23,89.6,62,40,5.82,MX,1595188173
29,broome,42.25,-75.83,93.0,43,40,16.11,US,1595188174
30,rikitea,-23.12,-134.97,68.58,73,37,16.26,PF,1595188174
31,borujerd,33.9,48.75,75.83,23,52,2.15,IR,1595188174
32,bredasdorp,-34.53,20.04,51.8,93,0,1.12,ZA,1595188174
33,itapora,-22.08,-54.79,83.8,33,0,9.35,BR,1595188174
34,ushuaia,-54.8,-68.3,33.8,86,75,0.31,AR,1595187984
35,ponnani,10.77,75.93,77.0,88,75,2.24,IN,1595188174
36,bluff,-46.6,168.33,41.14,81,98,7.7,NZ,1595188005
37,barranca,-10.75,-77.77,65.48,68,38,10.78,PE,1595188174
38,cape town,-33.93,18.42,60.01,93,75,10.29,ZA,1595188174
39,saint-louis,16.33,-15.0,93.27,42,83,17.96,SN,1595188174
40,yellowknife,62.46,-114.35,71.01,77,75,12.75,CA,1595188174
41,atuona,-9.8,-139.03,79.52,72,39,14.14,PF,1595188175
42,zarubino,42.63,131.09,64.98,94,100,10.78,RU,1595188175
43,salalah,17.02,54.09,80.6,94,90,9.17,OM,1595188175
44,ponta do sol,32.67,-17.1,75.2,53,20,17.22,PT,1595188175
45,busselton,-33.65,115.33,43.0,76,63,7.9,AU,1595188008
46,port lincoln,-34.73,135.87,51.3,73,66,9.19,AU,1595188175
47,port alfred,-33.59,26.89,61.11,82,0,12.84,ZA,1595188175
48,vila franca do campo,37.72,-25.43,73.4,64,75,11.41,PT,1595188061
49,cayenne,4.93,-52.33,82.4,83,68,5.82,GF,1595188175
50,leningradskiy,69.38,178.42,37.27,80,59,4.88,RU,1595188175
51,hamilton,39.18,-84.53,95.0,52,40,11.41,US,1595188175
52,mehamn,71.04,27.85,55.4,93,75,2.24,NO,1595188176
53,asmara,15.33,38.93,61.32,87,100,11.74,ER,1595188176
54,bambous virieux,-20.34,57.76,69.8,60,40,14.99,MU,1595188176
55,kodiak,57.79,-152.41,55.4,87,75,10.29,US,1595188176
56,nemuro,43.32,145.57,58.75,95,63,2.19,JP,1595188176
57,ostrovnoy,68.05,39.51,65.64,70,0,15.05,RU,1595188176
58,kununurra,-15.77,128.73,57.2,48,0,4.7,AU,1595187916
59,kupang,-10.17,123.58,71.85,81,0,7.96,ID,1595188176
60,hermanus,-34.42,19.23,51.01,94,0,8.34,ZA,1595188002
61,souillac,-20.52,57.52,69.8,60,40,14.99,MU,1595188070
62,tres palos,18.18,-101.62,91.4,63,20,10.29,MX,1595188176
63,chokurdakh,70.63,147.92,65.73,52,99,15.03,RU,1595188177
64,castro,-24.79,-50.01,67.42,70,53,3.8,BR,1595188107
65,tasiilaq,65.61,-37.64,53.6,58,0,9.17,GL,1595188177
66,muromtsevo,56.37,75.24,64.42,91,100,1.63,RU,1595188177
67,rognan,67.1,15.39,59.0,91,100,1.97,NO,1595188177
68,upernavik,72.79,-56.15,49.41,54,73,5.23,GL,1595188177
